id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,host_identity_verified,host_response_rate,instant_bookable,latitude,longitude,name,neighbourhood,review_scores_rating,thumbnail_url,zipcode,bedrooms,beds
13971273,289,Condominium,Hotel room,"{TV,""Cable TV"",""Wireless Internet"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Dog(s),Cat(s),""Other pet(s)"",""Elevator in building"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer""}",2,1,Real Bed,moderate,TRUE,Asheville,"Arguably the best location (and safest) in downtown LA. Steps away from Staples Center, LA Live, LA Convention Center,  2 metro stations. Next door to FIDM.  Convenience: Starbucks & cleaner in the building. Ralph's across the street. FREE ASSIGNED GATED INDOOR PARKING. FREE WIFI. Fully stocked kitchen. PANORAMIC view of DTLA neighborhoods and LA Live, on your private balcony that spans the entire living room and bedroom.  Luxury hotel-style living with concierge, lobby, pool, jacuzzi, etc! Bright, airy and cozy 1 bedroom condo - all to yourself! 1 assigned parking space (indoor, gated), at no additional charge. Condo is located in South Park, the sub-neighborhood of Downtown LA with  premium luxury high rise buildings (Ritz-Carlton, EVO, and many more).  It is next to the Financial District and a stone's throw away from Korea Town and Little Tokyo.  Several blocks away from 4 major freeways: 110, 5, 10 and 101. Several blocks away from 4 major freeways: 110, 5, 10 and 101. 3 blocks aw",t,100%,f,35.64453,-82.52586,Refocus Cottage - paradise,28804,93,https://a0.muscache.com/im/pictures/61bd05d5-c4db-4c49-9f87-c0981c2d83b9.jpg?aki_policy=small,90015,1,1
19407360,257,Apartment,Private room,"{TV,""Wireless Internet"",Pool,Kitchen,""Elevator in building"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,flexible,TRUE,Asheville,"Retro, Melrose Place-esque studio apartment steps away from Sunset Blvd + close to all the action in West Hollywood and Hollywood.  2-minute walk to 8000 Sunset Plaza (Starbucks, Crunch Gym, Trader Joes, restaurants, smoothies..).  Building is secure with amazing neighbors, vibe, and energy. Mediterranean-style building with extremely well taken care of pool. Super comfortable, large studio apartment. Bedroom, stocked bathroom, refrigerator, coffee maker, WiFi, office area, Apple TV .",t,,f,35.6117,-82.57668,"Asheville Montford Cottage, Walk To Town, 30 Days",28801,100,https://a0.muscache.com/im/pictures/c67ecdec-acdd-49d6-80e5-bed6fcc70805.jpg?aki_policy=small,0,1,1
14648556,249,Townhouse,Entire home/apt,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Hot tub"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,2,Real Bed,strict,TRUE,Asheville,"This is a nice duplex in a good location.Recently renovated with central air/heat,close to broadway, numerous restaurants,coffee,pubs and all kinds of other stores. Walk 10 min. to redline T. One stop to south station, 3-4 stops to MIT and Harvard. Minutes walking to Convention center, Boston harbor,Quincy Market,Faneuil Hall,seaport, museums etc. Bus 9 takes you to prudential shopping mall. Its a nice and safe neighborhood. Good for couples,solo adventurers and business travelers, welcome! This place is located at a quiet street but very close to broad way,numerous restaurants, coffee, ice cream and all kinds of stores. Walk 10 min. to Broadway redline T . One T stop to south station, 3-4 stops to MIT and Harvard. Walking distance to Convention center (10 min.).Boston harbor,Quincy Market,Faneuil Hall,seaport, museums etc. Bus 9 takes you to prudential shopping mall. Its a great location, nice and safe neighborhood,good for couples,solo adventurers, and business travelers. Welcome! ki",t,100%,f,35.57468,-82.55705,#2 Blue Ridge Room at Oakland Cottage B&B,28801,88,https://a0.muscache.com/im/pictures/176088bb-32e5-4bbc-a9f3-3672cbb31780.jpg?aki_policy=small,2127,1,1
12428036,229,Apartment,Private room,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",8,1,Real Bed,moderate,TRUE,Asheville,"This large room can accommodate up to 8 people! There are 5 twin beds, 2 full beds, and 1 sofa bed.  Other rooms include a private living room, one private bathroom, and one shared kitchen. Laundry machine is available. Located near subway station. Beautiful Victorian style house.  You will have access to gated parking in the back. Guests will have access to the yard and parking lot. The room is large and is comfortable for up to 8 people. The room has its own bathroom. The kitchen and laundry room is shared with guests from two other airbnb bedrooms. I love to travel, and occasionally I am out of town. If I am in LA, I am more than happy to help the guests during their stay! Westlake is in a dynamic, diverse, and historic part of Los Angeles that is being revitalized. During the late 19th century and early 20th century, Westlake was one of the most desirable residential neighborhoods in LA. Wealthy businessmen, local celebrities, and socialites built extravagant mansions and took resi",t,100%,t,35.64455,-82.52651,"Fully furnished, private 3BR, 1.5BA, spotless home",28804,92,https://a0.muscache.com/im/pictures/96983006/5c25be7f_original.jpg?aki_policy=small,90057,1,7
7264511,211,House,Shared room,"{""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,1,Real Bed,strict,TRUE,Asheville,"Lovely 1 BR with queen bed and private bath ensuite available for you to feel at home in.  Lovely and safe residential neighborhood where I raised my family. GREAT location - 20-25 minutes to almost anywhere in LA! Just minutes to Universal Studios. EVERYONE is welcome to my home! Truly a peaceful spot to call home while in LA to play in the sun or sell that new script! I've traveled all over the world. I understand when a little flexibility is needed with your travel plans. Please just communicate with me so we are both on the same page. The bedroom has its own bathroom and a walk in closet. It is located on the second floor of the house. You have access to the kitchen for  food prep. If you have the need to cook (i.e. a full blown meal), please check with me first. There is a Keurig for your use, light snacks and bottled water always available for you as well. There is a pool in the back yard that is also available for your use. There is always street parking next to the house (watch",t,100%,f,35.58395,-82.56161,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,28801,98,https://a0.muscache.com/im/pictures/8a137400-b3eb-4b6d-b2a5-7bc79ae018e3.jpg?aki_policy=small,91401,1,1
16679342,198,House,Entire home/apt,"{Internet,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets live on this property"",Dog(s),Heating,""Smoke detector"",""Fire extinguisher"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.5,Real Bed,strict,TRUE,Asheville,"Cozy room in my big private house in Brooklyn. The room is smaller but guests have access to all of the common areas in the house. Its is great if your visiting the city and want some privacy and peacefulness in your New York travels. Check in time is flexible please contact me if you are interested in long term rental Guest have acces to the room and all the common areas including the back yard We can chat sometimes and i will tell you more about the neighborhood other than that you are on your own Jamaican / West Indian neighborhood amazing food, cool people, irie (URL HIDDEN) entire street is private houses. Train stop: Utica Avenue & Sutter Avenue - 8minute walk or 3 minute bus ride, the bus that drops you from the train station runs very often so it really is a quick ride to the manhattan. the bus stop is one block away.",t,100%,f,35.64271,-82.51219,Town and Mountain Peaceful Retreat,28804,89,https://a0.muscache.com/im/pictures/58fcc67e-4335-4ac5-afca-61a3a040fbc7.jpg?aki_policy=small,11212,1,1
421056,171,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,Breakfast,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",2,1,Real Bed,strict,TRUE,Asheville,"The apartment is within walking distance to Prospect Park, the zoo, and the Botanical Garden. There are a bunch of cute coffee shops and bodegas in the neighborhood on the way to the subway. Restaurants and bars are within walking distance. You'll love staying here for the comfy bed a in room with loads of natural light and private backyard access. The open floor plan makes for a spacious common area. My place is good for couples, solo adventurers, and business travelers.",t,67%,f,35.6461,-82.51605,Lucky W Cottage- #1 Host in US,28804,100,https://a0.muscache.com/im/pictures/34792262-5e46-4efd-bc9d-971c41d933a0.jpg?aki_policy=small,11225,1,1
2658946,160,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox}",6,1.5,Real Bed,strict,TRUE,Asheville,"Amazing location at the heart of U street and 14th street neighbourhoods! Great 2 bedroom apartment (sleeps 6) in the heart of DC with excellent walkability and a great choice of restaurants, coffee shops, bars, grocery stores within a couple minutes walk. White house is within a 30 min walk or 5 min taxi ride away. Metro station only 7 minutes away! Home is open plan layout with hard wood floors, exposed brick walls, stainless steel kitchen appliances, a private deck and a parking space. Come stay in our lovely, modern home, right around the corner from 14th street`s action!  14th st is famous in DC for its trendy storefronts, endless dining options, and the bustling music scene. Families and friends will have no trouble finding entertainment and culture right outside of your door!  We host the basement unit as well, so for those with larger groups, please inquire about opening up the rest of the home to sleep an additional 4 guests.  Jack and Jill set up allows both the master bedroo",t,100%,t,35.60418,-82.54964,The birdhouse.Sweet suite! Downtown Roof top deck!,28801,89,https://a0.muscache.com/im/pictures/96983006/5c25be7f_original.jpg?aki_policy=small,20009,2,3
5385260,159,House,Entire home/apt,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,TRUE,Asheville,"Quiet community. Close to supermarkets,restaurants,60 freeway.Looking forward to provide you with high quality service  安全宁静的街区, 近华人及韩国超市,餐厅,近60号高速。欢迎旅行商住 宽敞、明亮、干净、整洁、出入方便 Available kitchen,laundry,living room 可使用厨房洗衣间及客厅 Anytime contact with message or email.phone call available 9am to 7pm. 任何时间的信息和邮箱都可以。电话请在太平洋时间早上9点至晚上7点之间 房客须知:  1、房客之间不允许私下擅自更换房间,必须经由管理员,以及双方房客许可,由管理员监督更换房间。  1, between the tenants are not allowed to privately change the room, must be by the administrator, and the two sides permit tenants, supervise the replacement of the room by the administrator. 2、请认准自己预定房间的号码拿取钥匙,不得进入非预定房间。 2, please look for their own room number to pick up the key, not to enter the not you booking room. 3、预定房间请看准描述选定房间,如描述不清请向管理员咨询,预定后既视为认可不给予任何更换。 3, booking room, please see the description of the selected room, such as the description is unclear, please ask to the administrator, when confired booked room,we don't given any replacement. 4、请自行确认是否预定想要的房源,如不清楚请及时询问管理员,如确认预定,管理员既视为满意本房源,不再对预定进行",f,100%,t,35.49111,-82.48438,Luxurious Mountain Guest Suite Apartment,28803,90,https://a0.muscache.com/im/pictures/8d2f08ce-bf65-4018-a7b0-18823a7882a7.jpg?aki_policy=small,91748,1,1
19813606,158,Condominium,Shared room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Gym,""Elevator in building"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers}",5,2,Real Bed,strict,TRUE,Asheville,"Modern two bedroom condo with street parking. Rooftop complete with views of the lake, parks and Saturday night fireworks. Walking distance of Grant Park, Field Museum, Adler Planetarium, Chicago Art Institute and Shedd Aquarium.  A short drive or thirty minute walk from Millennium park. The bed in the second bedroom is a queen sized, no bar, foam mattress, sleeper sofa. Will not be available in person but will have doormen to help if needed Tucked away neighborhood with all of Chicago main attractions within a 30 minute walk. Close by the subway red line which take you to the heart of the city and Wrigley Field. Easy to catch taxi, Uber, or Lyft",f,100%,t,35.57597,-82.53695,Garden studio between Asheville +  Biltmore Estate,28803,,https://a0.muscache.com/im/pictures/f61997c8-786e-4477-a46f-ace4f2a77878.jpg?aki_policy=small,60605,2,2
